,meaning1,meaning2,meaning1_clean,meaning2_clean,realizations
626,fisherman,osprey (Pandion haliaёtus),fisherman,osprey  ,2
627,fist,handful,fist,handful,4
628,flank (body part),mountain slope,flank body part,mountain slope,7
629,flat (adj),simple,flat ,simple,3
630,flat (adj),stupid,flat ,stupid,2
631,flat (adj),unfunny,flat ,unfunny,2
632,flexible,quick,flexible,quick,1
633,flower,bastard,flower,bastard,1
634,flower,beautiful,flower,beautiful,1
635,flower,best,flower,best,3
636,flower,colour,flower,color,1
637,flower,cunning person,flower,cunning person,1
638,flower,fire,flower,fire,1
639,flower,fireworks,flower,fireworks,1
640,flower,smallpox,flower,smallpox,3
641,flute,Eurasian skylark,flute,Eurasian skylark,1
642,flute,shinbone,flute,shinbone,2
643,fly (n.),clubs (in cards),fly ,clubs in cards,1
644,foam,"chatter, idle talk",foam,chatter or idle talk,1
645,fool,fanatic,fool,fanatic,1
646,foot,mountain foot,foot,mountain foot,6
647,foot,sediment,foot,sediment,1
648,foot,unit of length,foot,unit of length,4
649,foot/leg,basis,foot or leg,basis,3
650,foot/leg,branch (of a river),foot or leg,branch of a river,4
651,foot/leg,cock (of a gun),foot or leg,cock of a gun,1
652,foot/leg,foot-wear,foot or leg,foot wear,1
653,foot/leg,hand (of a clock),foot or leg,hand of a clock,1
654,foot/leg,jack (playing card),foot or leg,jack playing card,1
655,foot/leg,mouth (of a river),foot or leg,mouth of a river,1
656,foot/leg,"salient part, ledge",foot or leg,salient part or ledge,1
657,foot/leg,spur of mountain,foot or leg,spur of mountain,1
658,foot/leg,"step (of a staircase, step-ladder)",foot or leg,step of a staircase or step ladder,1
659,foot/leg,"step, pace",foot or leg,step or pace,3
660,foot/leg,wheel,foot or leg,wheel,2
661,"footprint, track",affair,footprint or track,affair,1
662,"footprint, track",road,footprint or track,road,6
663,"footprint, track",scar,footprint or track,scar,1
664,"footprint, track","sign, designation",footprint or track,sign or designation,1
665,forbidden,bastard,forbidden,bastard,1
666,forehead,front (during the war),forehead,front during the war,2
667,forehead,front part,forehead,front part,10
668,forehead,"happiness, luck",forehead,happiness or luck,1
669,forehead,mountain slope,forehead,mountain slope,2
670,forehead,"salient part, ledge",forehead,salient part or ledge,1
671,forehead,side (n.),forehead,side ,1
672,forelock,hill,forelock,hill,1
673,forest,bear (Ursus),forest,bear ,2
674,forest,to hunt,forest,to hunt,1
675,forest,toilet,forest,toilet,1
676,forest,"wild, untamed",forest,wild or untamed,1
677,fortress,prison,fortress,prison,3
678,"foundation, basement",main,foundation or basement,main,1
679,fox (Vulpes vulpes),chanterelle,fox Vulpes Vulpes,chanterelle,2
680,fox (Vulpes vulpes),trigger (of a gun),fox Vulpes Vulpes,trigger of a gun,1
681,free,"can, to be able",free,can or to be able,4
682,free,cheap,free,cheap,1
683,free,free of charge,free,free of charge,3
684,freedom,territorial entity,freedom,territorial entity,1
685,fresh,active,fresh,active,1
686,friend,beloved,friend,beloved,5
687,friend,musk-deer (Moschus moschiferus),friend,musk deer  ,3
688,friend,tiger,friend,tiger,1
689,frog,breaststroke,frog,breaststroke,3
690,frog,lock (n.),frog,lock ,1
691,frog,toad,frog,toad,2
692,fruit,child (son or daughter),fruit,child son or daughter,5
693,fruit,"result, outcome",fruit,result or outcome,9
694,fruit,testicle,fruit,testicle,1
695,full,drunk,full,drunk,8
696,funny,strange,funny,strange,5
697,furuncul,fig,furuncul,fig,1
698,garbage,large quantity,garbage,large quantity,1
699,garbage,lumpen,garbage,lumpen,1
700,garbage,police officer,garbage,police officer,1
701,garbage,unimportant,garbage,unimportant,1
702,garden,kindergarten,garden,kindergarten,6
703,gate,town,gate,town,1
704,"genuine, true",own (of a relative),genuine or true,own of a relative,1
705,gilt,lovely,gilt,lovely,1
706,girl,dragonfly,girl,dragonfly,2
707,girl,pupil (of an eye),girl,pupil of an eye,9
708,girl,queen (playing card),girl,queen playing card,1
709,glass (material),eye,glass material,eye,1
710,glass (material),mirror,glass material,mirror,46
711,glass (material),spectacles,glass material,spectacles,3
712,glutton,wolverine,glutton,wolverine,12
713,goat,drinking vessel,goat,drinking vessel,1
714,goat,hare (Lepus),goat,hare ,2
715,goat,sabrefish,goat,fish,2
716,god,smallpox,god,smallpox,3
717,goddess,wife,goddess,wife,1
718,gold,bear (Ursus),gold,bear ,1
719,gold,measles,gold,measles,1
720,goldsmith,dragonfly,goldsmith,dragonfly,2
721,good,"kind, good-hearted",good,kind or good hearted,5
722,good,new,good,new,1
723,good,"sweets, candy",good,sweets or candy,1
724,good,very,good,very,5
725,good,ОК,good,ok,3
726,"grain, seed",freckle,grain or seed,freckle,3
727,"grain, seed",novice,grain or seed,novice,1
728,"grain, seed",pip (disease of birds),grain or seed,pip disease of birds,2
729,"grain, seed","rash, eruption",grain or seed,rash or eruption,2
730,"grain, seed",sty (on the eye),grain or seed,sty on the eye,3
731,"grain, seed",testicle,grain or seed,testicle,4
732,grandchild,wolf,grandchild,wolf,1
733,grandfather,ancestor,grandfather,ancestor,8
734,grandfather,dragonfly,grandfather,dragonfly,1
735,grandfather,father-in-law,grandfather,father in law,2
736,grandfather,house spirit,grandfather,house spirit,1
737,grandfather,old man,grandfather,old man,27
738,grandfather,soldier who is approaching demobilization,grandfather,soldier who is approaching demobilization,2
739,grandfather,tiger,grandfather,tiger,1
740,grandfather,woodland spirit,grandfather,woodland spirit,2
741,grandmother,dragonfly,grandmother,dragonfly,1
742,grandmother,mandrel (technology),grandmother,mandrel technology,1
743,grandmother,old woman,grandmother,old woman,5
744,grandmother,smallpox,grandmother,smallpox,3
745,grandmother,"witch, sorceress",grandmother,witch or sorceress,1
746,grandparent,elephant,grandparent,elephant,1
747,grandparent,tiger,grandparent,tiger,1
748,granule,small quantity of something,granule,small quantity of something,2
749,grass,cannabis,grass,cannabis,4
750,grass,oregano,grass,oregano,1
751,grass,spring (season),grass,spring season,1
752,greasy,cream (of milk),greasy,cream of milk,1
753,greasy,fat (adj.)(of a person),greasy,fat of a person,14
754,greasy,fertile (soil),greasy,fertile soil,11
755,greedy,deaf,greedy,deaf,2
756,greedy,"missing, failing",greedy,missing or failing,2
757,green,child (son or daughter),green,child son or daughter,1
758,green,fresh,green,fresh,1
759,green,inexperienced,green,inexperienced,3
760,green,plant (biol.),green,plant ,3
761,green,unripe (fruit),green,unripe fruit,8
762,green,young,green,young,10
763,grey,heavy (of weight),gray,heavy of weight,2
764,"grown-up, adult",boss,grown up or adult,boss,1
765,guest,disease,guest,disease,2
766,guest,menstruation,guest,menstruation,2
767,hair,grass,hair,grass,1
768,hair,hair (of animals),hair,hair of animals,7
769,hair,"happiness, luck",hair,happiness or luck,1
770,hair,head,hair,head,1
771,hair,respect (n.),hair,respect ,1
772,hair,"rope, string, cord, lashing",hair,rope or string or cord or lashing,1
773,hammer,molar (tooth),hammer,molar tooth,2
774,hand,move (board games),hand,move board games,2
775,hand/arm,boss,hand or arm,boss,1
776,hand/arm,branch (of a river),hand or arm,branch of a river,9
777,hand/arm,finger/toe,hand or arm,finger or toe,1
778,hand/arm,flank (military),hand or arm,flank military,2
779,hand/arm,group of men,hand or arm,group of men,1
780,hand/arm,hand (of a clock),hand or arm,hand of a clock,1
781,hand/arm,handwriting,hand or arm,handwriting,2
782,hand/arm,kind (n.),hand or arm,kind ,2
783,hand/arm,"manner, way",hand or arm,manner or way,1
784,hand/arm,part,hand or arm,part,1
785,hand/arm,"power, authority",hand or arm,power or authority,12
786,hand/arm,ray,hand or arm,ray,2
787,hand/arm,side (n.),hand or arm,side ,5
788,hand/arm,"skilful, dexterous",hand or arm,skilful or dexterous,1
789,hand/arm,strait,hand or arm,strait,1
790,hand/arm,strength,hand or arm,strength,3
791,hand/arm,"trunk, proboscis (of elephant)",hand or arm,trunk or proboscis of elephant,7
792,"handle, gripe",wing,handle or gripe,wing,1
793,happy,strong,happy,strong,1
794,"hard, solid",good,hard or solid,good,1
795,"hard, solid",obstinate,hard or solid,obstinate,6
796,"hard, solid",persistent,hard or solid,persistent,4
797,"hard, solid",severe,hard or solid,severe,14
798,hare (Lepus),gay,hare ,gay,1
799,hare (Lepus),moon,hare ,moon,3
800,hare (Lepus),pacemaker (running),hare ,pacemaker running,10
801,"harm, damage",to deceive,harm or damage,to deceive,1
802,hawthorn,blackthorn,hawthorn,blackthorn,1
803,hawthorn,dog-rose,hawthorn,dog rose,1
804,haymaking (time),Eurasian hoopoe,haymaking time,Eurasian hoopoe,1
805,he,bear (Ursus),he,bear ,1
806,head,beginning,head,beginning,8
807,head,boss,head,boss,16
808,head,chapter (of a book),head,chapter of a book,5
809,head,"ear, spike (of a grain plant)",head,ear or spike of a grain plant,3
810,head,edge,head,edge,2
811,head,face,head,face,2
812,head,"heading, title",head,heading or title,1
813,head,headstream,head,head stream,6
814,head,kind (n.),head,kind ,1
815,head,mind (n.),head,mind ,15
816,head,money,head,money,3
817,head,nail-head,head,nail head,10
818,head,nipple (part of the breast),head,nipple part of the breast,1
819,head,one piece (at counting),head,one piece at counting,7
820,head,plot of land,head,plot of land,1
821,head,roof,head,roof,1
822,head,round object,head,round object,6
823,head,side (n.),head,side ,3
824,head,table of contents,head,table of contents,1
825,head,top,head,top,1
826,healthy,brave,healthy,brave,1
827,healthy,competent,healthy,competent,2
828,healthy,sober,healthy,sober,3
829,healthy,sun,healthy,sun,1
830,"heap, pile","many, much",heap or pile,many or much,2
831,heart,belly,heart,belly,1
832,heart,brave,heart,brave,6
833,heart,by heart,heart,by heart,1
834,heart,clapper of a bell,heart,clapper of a bell,1
835,heart,essence,heart,essence,2
836,heart,impudence,heart,impudence,1
837,heart,inside,heart,inside,4
838,heart,mind (n.),heart,mind ,7
839,heart,stone (of a fruit),heart,stone of a fruit,2
840,"heathen, pagan",buckwheat,heathen or pagan,buckwheat,1
841,heavy (of weight),bad,heavy of weight,bad,3
842,heavy (of weight),"bass, low-pitched voice",heavy of weight,bass or low pitched voice,3
843,heavy (of weight),bothering,heavy of weight,bothering,1
844,heavy (of weight),difficult,heavy of weight,difficult,20
845,heavy (of weight),"earnest, serious",heavy of weight,earnest or serious,1
846,heavy (of weight),important,heavy of weight,important,14
847,heavy (of weight),insulting,heavy of weight,insulting,3
848,heavy (of weight),pregnant,heavy of weight,pregnant,16
849,heavy (of weight),rich,heavy of weight,rich,1
850,heavy (of weight),slow (adj.),heavy of weight,slow ,2
851,heavy (of weight),strong,heavy of weight,strong,2
852,heavy (of weight),"stuffy, close",heavy of weight,stuffy or close,8
853,heavy (of weight),stupid,heavy of weight,stupid,1
854,heavy (of weight),very,heavy of weight,very,4
855,hedgehog (Еrinaceus),chestnut,hedgehog ,chestnut,2
856,hedgehog (Еrinaceus),rat,hedgehog ,rat,2
857,heel (of a foot),behind,heel of a foot,behind,2
858,heel (of a foot),edge,heel of a foot,edge,2
859,heel (of a foot),end,heel of a foot,end,1
860,heel (of a foot),"footprint, track",heel of a foot,footprint or track,1
861,heel (of a foot),heel (of a shoe),heel of a foot,heel of a shoe,11
862,heel (of a foot),hoof,heel of a foot,hoof,1
863,height (of a person),age,height of a person,age,2
864,hell,experience of great suffering,hell,experience of great suffering,3
865,hell,glutton,hell,glutton,2
866,hen,vagina,hen,vagina,1
867,hen,whore,hen,whore,2
868,hermit,Boletus edulis,hermit,penny bun fungus,1
869,herring,police officer,herring,police officer,1
870,high (location),high-pitched,high location,high pitched,7
871,high (location),of high rank,high location,of high rank,6
872,high (location),proud,high location,proud,4
873,"high (size), tall",expensive,high size or tall,expensive,1
874,"high (size), tall",loud,high size or tall,loud,15
875,hill,tomb,hill,tomb,5
876,hoar-frost,grey hair,hoar frost,gray hair,1
877,honey,sweet (taste),honey,sweet taste,1
878,hoof,foot/leg,hoof,foot or leg,2
879,hoof,hearts (in cards),hoof,hearts in cards,1
880,horn,branch (of a river),horn,branch of a river,1
881,horn,cape,horn,cape,2
882,horn,flank (military),horn,flank military,1
883,horn,peak of mountain,horn,peak of mountain,4
884,horn,ravine,horn,ravine,1
885,horn,spout of vessel,horn,spout of vessel,1
886,horn,swelling (on skin),horn,swelling on skin,1
887,horned,deer,horned,deer,1
888,horse (Equus caballus),big,horse  ,big,2
889,horse (Equus caballus),dragonfly,horse  ,dragonfly,1
890,horse (Equus caballus),flatbread,horse  ,flatbread,1
891,horse (Equus caballus),knight (chess),horse  ,knight chess,14
892,horse (Equus caballus),wave,horse  ,wave,1
893,"horseman, rider",knight (chess),horseman or rider,knight chess,5
894,"horseman, rider","noble rank, title",horseman or rider,noble rank or title,3
895,hot,active,hot,active,8
896,hot,angry,hot,angry,12
897,hot,difficult,hot,difficult,1
898,hot,fever,hot,fever,5
899,hot,fresh,hot,fresh,2
900,hot,"friendly, amicable",hot,friendly or amicable,3
901,hot,hoarse,hot,hoarse,1
902,hot,passionate,hot,passionate,19
903,hot,recent,hot,recent,3
904,hot,spicy,hot,spicy,2
905,hot,to succeed,hot,to succeed,1
906,hour,"watch, clock",hour,watch or clock,5
907,house,coffin,house,coffin,1
908,house,family,house,family,9
909,house,husband,house,husband,2
910,house,inheritance,house,inheritance,1
911,house,motherland,house,motherland,1
912,house,native land,house,native land,1
913,house,tomb,house,tomb,4
914,house,verse,house,verse,2
915,house,wife,house,wife,6
916,hump (of a person or camel),peak of mountain,hump of a person or camel,peak of mountain,1
917,humpbacked,"mosquito, gnat",humpbacked,mosquito or gnat,1
918,hungry,greedy,hungry,greedy,2
919,hunter,bishop (chess),hunter,bishop chess,3
920,hunter,wolf,hunter,wolf,1
921,hyena,glutton,hyena,glutton,1
922,ice,glass (material),ice,glass material,1
923,"idler, loafer",sloth (South American mammal),idler or loafer,sloth south American mammal,28
924,"idler, loafer",track idler wheel,idler or loafer,track idler wheel,2
925,"ill, sick, not well",moon,ill or sick or not well,moon,1
926,"ill, sick, not well",wrong,ill or sick or not well,wrong,1
927,immature fish,inexperienced,immature fish,inexperienced,1
928,incomplete,insane,incomplete,insane,1
929,inflated,"false, wrong",inflated,false or wrong,1
930,inflated,proud,inflated,proud,6
931,innocent,child (son or daughter),innocent,child son or daughter,1
932,insane,to be keen of,insane,to be keen of,2
933,insect,wolf,insect,wolf,2
934,"instrument, tool",weapon,instrument or tool,weapon,4
935,intact,normal,intact,normal,2
936,intact,pure,intact,pure,1
937,iron,anchor,iron,anchor,4
938,iron,black,iron,black,1
939,iron,"firm, solid",iron,firm or solid,1
940,iron,iron (for pressing clothes),iron,iron for pressing clothes,3
941,iron,scissors,iron,scissors,1
942,iron,sword,iron,sword,1
943,iron,"trap, snare (n.)",iron,trap or snare ,1
944,iron,weapon,iron,weapon,3
945,jaw,blade,jaw,blade,3
946,jaw,sleigh,jaw,sleigh,1
947,jay,siberian jay,jay,siberian jay,1
948,jerboa,weak,jerboa,weak,1
949,jester,bishop (chess),jester,bishop chess,2
950,"jewel, precious stone",eye,jewel or precious stone,eye,2
951,"jewelry, precious thing",penis,jewelry or precious thing,penis,1
952,"jewelry, precious thing",talent,jewelry or precious thing,talent,2
953,"joint, articulation",generation,joint or articulation,generation,4
954,"joint, articulation",node (part of a plant stem),joint or articulation,node part of a plant stem,1
955,"joint, articulation",tribe,joint or articulation,tribe,2
956,jumper,knight (chess),jumper,knight chess,2
957,juniper,wild rosemary,juniper,wild rosemary,1
958,key (of a door),clavicle,key of a door,clavicle,1
959,key (of a door),keystone,key of a door,keystone,6
960,key (of a door),"tap, faucet",key of a door,tap or faucet,2
961,kilogram,100 units of currency,kilogram,one hundred units of currency,2
962,kite,kite (lightweight toy),kite,kite lightweight toy,4
963,kite (lightweight toy),flying fish,kite lightweight toy,flying fish,1
964,knee,genitalia,knee,genitalia,2
965,knee,strong,knee,strong,1
966,knot,contract,knot,contract,2
967,ladle,"shoulder-blade, scapula",ladle,shoulder blade or scapula,1
968,ladybird,"firebug, Pyrrhocoris apterus",ladybird,firebug or  ,1
969,lame person,drunk,lame person,drunk,1
970,land (vs. sea),bottom,land ,bottom,3
971,land (vs. sea),floor (vs. ceiling),land ,floor ,5
972,lap,"protection, patronage",lap,protection or patronage,1
973,lap,vagina,lap,vagina,2
974,lap (of clothes),mountain slope,lap of clothes,mountain slope,1
975,last,next,last,next,1
976,"lavish, generous",fertile (soil),lavish or generous,fertile soil,1
977,"lavish, generous",influential person,lavish or generous,influential person,1
978,"lead, plumbum",pencil,lead or ,pencil,2
979,leaf,blade,leaf,blade,2
980,leaf,crucian,leaf,crucian,1
981,leaf,"leaf (of door, window)",leaf,leaf of door or window,2
982,leaf,letter (text),leaf,letter text,1
983,leaf,money,leaf,money,1
984,leaf,oar,leaf,oar,2
985,leaf,sheet of paper,leaf,sheet of paper,15
986,leaf,spades (in cards),leaf,spades in cards,1
987,lean,fatless,lean,fatless,11
988,leech,creditor,leech,creditor,1
989,leech,extortioner,leech,extortion doer,1
990,left,bad,left,bad,1
991,left,bad luck,left,bad luck,3
992,left,impolite,left,impolite,2
993,left,left (political),left,left political,11
994,left,west,left,west,1
995,left,wrong,left,wrong,3
996,length,longitude,length,longitude,1
997,lenten (fare),fatless,lenten fare,fatless,1
998,lentil,lens,lentil,lens,4
999,letter (character),reverse side of a coin,letter character,reverse side of a coin,1
1000,letter (text),signature,letter text,signature,1
1001,life,death,life,death,2
1002,lifting machine,"tap, faucet",lifting machine,tap or faucet,6
1003,light (n.),electricity,light ,electricity,4
1004,light (n.),world,light ,world,4
1005,light (of colour),clever,light of color,clever,5
1006,light (of colour),comprehensible,light of color,comprehensible,17
1007,light (of colour),glad,light of color,glad,4
1008,light (of colour),high-pitched,light of color,high pitched,1
1009,light (of colour),honest,light of color,honest,1
1010,light (of colour),sober,light of color,sober,1
1011,light (of weight),cheap,light of weight,cheap,3
1012,light (of weight),frivolous,light of weight,frivolous,2
1013,light (of weight),not strong (of liquid or smell),light of weight,not strong of liquid or smell,1
1014,light (of weight),simple,light of weight,simple,18
1015,light (of weight),unimportant,light of weight,unimportant,3
1016,lightning,electricity,lightning,electricity,11
1017,line,"footprint, track",line,footprint or track,1
1018,line,trait,line,trait,4
1019,lineage,offspring,lineage,offspring,1
1020,lion (Panthera leo),brave person,lion panther leo,brave person,6
1021,lion (Panthera leo),monarch,lion panther leo,monarch,2
1022,lip,beak,lip,beak,1
1023,lip,edge,lip,edge,4
1024,lip,word,lip,word,4
1025,liquid (adj.),high-pitched,liquid ,high pitched,1
1026,liquid (adj.),sparse,liquid ,sparse,4
1027,liquid (adj.),weak,liquid ,weak,1
1028,literally,figuratively,literally,figuratively,3
1029,little finger,branch (of a river),little finger,branch of a river,1
1030,"little, small",aunt (mother's sister),little or small,aunt mother's sister,1
1031,"little, small","detailed, thorough",little or small,detailed or thorough,2
1032,"little, small",little finger,little or small,little finger,4
1033,"little, small",low (social),little or small,low social,1
1034,"little, small",stupid,little or small,stupid,1
1035,"little, small",younger,little or small,younger,1
1036,lock (n.),keystone,lock ,keystone,2
1037,locked,strong (of liquid or smell),locked,strong of liquid or smell,1
1038,long (size),far away,long size,far away,2
1039,long (size),"high (size), tall",long size,high size or tall,7
1040,long (size),woodland spirit,long size,woodland spirit,1
1041,long-armed,thief,long armed,thief,1
1042,look (n.),"instant, moment",look ,instant or moment,1
1043,lord,god,lord,god,13
1044,lord,"you (pronoun 2 sg., polite)",lord,you pronoun 2  or polite,5
1045,lost,dead (adj.),lost,dead ,1
1046,lotus,beautiful,lotus,beautiful,2
1047,lotus,beloved,lotus,beloved,1
1048,lotus,shower head,lotus,shower head,2
1049,loud,severe (about pain),loud,severe about pain,1
1050,low (location),bad,low location,bad,3
1051,low (location),bad (ethically),low location,bad ethically,11
1052,low (location),"bass, low-pitched voice",low location,bass or low pitched voice,1
1053,low (location),deep,low location,deep,2
1054,low (location),embroidery on the hem,low location,embroidery on the hem,1
1055,low (location),low (social),low location,low social,5
1056,low (location),meek,low location,meek,2
1057,low (location),of low rank,low location,of low rank,4
1058,low (location),old (vs. new),low location,old ,1
1059,low (location),weak,low location,weak,1
1060,low (size),quiet (vs. loud),low size,quiet ,10
1061,low (social),bad (ethically),low social,bad ethically,1
1062,lower part,south,lower part,south,5
1063,lower part,west,lower part,west,1
1064,lower reach (of river),North,lower reach of river,North,1
1065,lung,sponge,lung,sponge,1
1066,magpie (Pica pica),"happiness, luck",magpie Pica Pica,happiness or luck,1
1067,magpie (Pica pica),talkative person,magpie Pica Pica,talkative person,7
1068,maize,cone (fruit),maize,cone fruit,1
1069,male (animal),door bolt,male animal,door bolt,1
1070,man,courage,man,courage,3
1071,man,husband,man,husband,35
1072,man,main,man,main,1
1073,mane,"mountain ridge, edge",mane,mountain ridge or edge,6
1074,mango,syphilis,mango,syphilis,1
1075,"mangy, scabby",bad,mangy or scabby,bad,4
1076,"manufacturer, producer","commodity, goods",manufacturer or producer,commodity or goods,1
1077,"many, much",very,many or much,very,11
1078,market,Sunday,market,Sunday,6
1079,market,noise,market,noise,2
1080,marrow,core (of plant),marrow,core of plant,7
1081,marten,money,marten,money,2
1082,mask,larva,mask,larva,2
1083,mat,whore,mat,whore,4
1084,meat,fruit pulp,meat,fruit pulp,10
1085,meat,kinship,meat,kinship,1
1086,"melody, tune",behaviour,melody or tune,behavior,2
1087,mental hospital,"disorder, mess",mental hospital,disorder or mess,2
1088,messenger,angel,messenger,angel,2
1089,metal,gold,metal,gold,2
1090,metal,money,metal,money,1
1091,metal spike,pike (fish),metal spike,pike fish,1
1092,middle,Wednesday,middle,Wednesday,1
1093,middle,boundary (of land plots),middle,boundary of land plots,1
1094,middle,middle finger,middle,middle finger,2
1095,middle,to act as intermediary,middle,to act as intermediary,1
1096,milk,"milk-tooth, deciduous tooth",milk,milk tooth or deciduous tooth,2
1097,milk,milt (of fish),milk,milt of fish,6
1098,milk,"resin; pitch, tar",milk,resin; pitch or tar,1
1099,milk,sap (of a plant),milk,sap of a plant,2
1100,mill (n.),molar (tooth),mill ,molar tooth,2
1101,mind (n.),joke,mind ,joke,2
1102,mind (n.),memory,mind ,memory,6
1103,mine (underground tunnel),mine (explosive device),mine underground tunnel,mine explosive device,9
1104,miracle,mirror,miracle,mirror,1
1105,mirror,mirror (website),mirror,mirror website,9
1106,mirror,spectacles,mirror,spectacles,6
1107,misfortune,wolf,misfortune,wolf,1
1108,"missing, failing",stupid,missing or failing,stupid,2
1109,"mist, fog",cataract (of the eye),mist or fog,cataract of the eye,2
1110,mistress of a house,"mistress, paramour",mistress of a house,mistress or paramour,2
1111,mistress of a house,wife,mistress of a house,wife,5
1112,moisture,"profit, gain (n.)",moisture,profit or gain ,1
1113,monarch,bride,monarch,bride,1
1114,monarch,goldcrest,monarch,small bird,1
1115,monarch,king (a playing card),monarch,king a playing card,5
1116,monarch,mesentery,monarch,mesentery,1
1117,monarch,queen (bee),monarch,queen bee,11
1118,monk,donut,monk,donut,2
1119,monk,macereed (Typha),monk,mace reed cattail,1
1120,monkey,"ugly, unpleasant",monkey,ugly or unpleasant,7
1121,monster (abnormal creature),cruel,monster abnormal creature,cruel,8
1122,moon,Monday,moon,Monday,7
1123,moon,calendar,moon,calendar,1
1124,moon,date,moon,date,1
1125,moon,horseshoe,moon,horseshoe,1
1126,moon,menstruation,moon,menstruation,11
1127,moon,month,moon,month,259
1128,moon,silver,moon,silver,1
1129,moon,sunflower,moon,sunflower,1
1130,moon,time,moon,time,1
1131,moon,white,moon,white,1
1132,morning,day,morning,day,1
1133,morning,east,morning,east,1
1134,morning,spring (season),morning,spring season,1
1135,mortal,person,mortal,person,5
1136,"mosquito, gnat",ant,mosquito or gnat,ant,1
1137,mother,daughter,mother,daughter,2
1138,mother,goddess,mother,goddess,3
1139,mother,main,mother,main,2
1140,mother,old woman,mother,old woman,2
1141,mother,original,mother,original,4
1142,mother,queen (bee),mother,queen bee,1
1143,mother,sister,mother,sister,1
1144,mother,smallpox,mother,smallpox,4
1145,mother,wet-nurse,mother,wet nurse,1
1146,mother,widow,mother,widow,1
1147,mountain,cloud,mountain,cloud,1
1148,mountain,forest,mountain,forest,17
1149,mountain,monastery,mountain,monastery,1
1150,mouse,birthmark,mouse,birthmark,1
1151,mouse,child (son or daughter),mouse,child son or daughter,1
1152,mouse,computer mouse,mouse,computer mouse,27
1153,mouse,muscle,mouse,muscle,8
1154,moustache,barbel,mustache,barbel,1
1155,moustache,tendril (of plant),mustache,tendril of plant,2
1156,mouth,beak,mouth,beak,5
1157,mouth,blade,mouth,blade,1
1158,mouth,completion,mouth,completion,1
1159,mouth,edge,mouth,edge,6
1160,mouth,face,mouth,face,8
1161,mouth,fast (n.),mouth,fast ,2
1162,mouth,"herald, messenger",mouth,herald or messenger,2
1163,mouth,impudence,mouth,impudence,1
1164,mouth,mouth (of a river),mouth,mouth of a river,10
1165,mouth,"opening, hole",mouth,opening or hole,20
1166,mouth,ravine,mouth,ravine,4
1167,mouth,speech,mouth,speech,11
1168,mouth,vacancy,mouth,vacancy,1
1169,mud,faeces,mud,faeces,14
1170,mud,penis,mud,penis,1
1171,mud,sweat,mud,sweat,1
1172,"muddy, turbid (of water) (?)",to fornicate,muddy or turbid of water ,to fornicate,1
1173,"muddy, turbid (of water) (?)","to worry, be agitated",muddy or turbid of water ,to worry or be agitated,2
1174,mule,sterile,mule,sterile,1
1175,muscle,strength,muscle,strength,1
1176,mushroom,Boletus edulis,mushroom,penny bun fungus,3
1177,mute,stupid,mute,stupid,6
1178,mute,talkative person,mute,talkative person,2
1179,muzzle,face,muzzle,face,3
1180,muzzle,mouth (of a river),muzzle,mouth of a river,1
1181,nail (body part),finger/toe,nail body part,finger or toe,4
1182,nail (body part),nail (metal spike),nail body part,nail metal spike,2
1183,nail (metal spike),"screw, screw-bolt",nail metal spike,screw or screw bolt,2
1184,"naked, bare",bald,naked or bare,bald,7
1185,"naked, bare",bareback,naked or bare,bareback,1
1186,"naked, bare","deprived of, lacking",naked or bare,deprived of or lacking,4
1187,"naked, bare",insolent,naked or bare,insolent,1
1188,"naked, bare","only, just",naked or bare,only or just,2
1189,"naked, bare",poor,naked or bare,poor,3
1190,"naked, bare",raw,naked or bare,raw,1
1191,name,kind (n.),name,kind ,4
1192,name,reputation,name,reputation,3
1193,nameless,ring finger,nameless,ring finger,5
1194,"narrow, close",greedy,narrow or close,greedy,3
1195,navel,belly,navel,belly,2
1196,navel,bottom,navel,bottom,1
1197,navel,centre,navel,center,18
1198,navel,keystone,navel,keystone,2
1199,navel,lower part,navel,lower part,1
1200,navel,pole (geographical),navel,pole geographical,1
1201,navel,stone (of a fruit),navel,stone of a fruit,1
1202,navel,whirlpool,navel,whirlpool,1
1203,navy,dark blue,navy,dark blue,1
1204,near,cheap,near,cheap,1
1205,near,close (of relations),near,close of relations,9
1206,near,stupid,near,stupid,2
1207,necessary,suitable,necessary,suitable,1
1208,neck,crossroads,neck,crossroads,1
1209,neck,isthmus,neck,isthmus,3
1210,neck,mountain pass,neck,mountain pass,5
1211,neck,"mountain ridge, edge",neck,mountain ridge or edge,2
1212,neck,neck (of bottle etc.),neck,neck of bottle ,11
1213,needle,shuttle (weaving instrument),needle,shuttle weaving instrument,2
1214,neighbour,fever,neighbor,fever,1
1215,nest (n.),bed,nest ,bed,9
1216,nettle (Urtica),"medusa, jellyfish",nettle ,medusa or jellyfish,2
1217,new,strange,new,strange,1
1218,next,second (num.),next,second ,1
1219,night,24 hours,night,twenty four hours,3
1220,night-blindness,common buttercup (Ranunculus acris),night blindness,common buttercup Ranunculus ,1
1221,night-blindness,scarlet pimpernel (Anagallis arvensis),night blindness,scarlet pimpernel  ,1
1222,"nimble, deft, quick",comfortable,nimble or deft or quick,comfortable,1
1223,noble,bear (Ursus),noble,bear ,1
1224,noble,free,noble,free,2
1225,noon,south,noon,south,12
1226,nose,angry,nose,angry,1
1227,nose,beak,nose,beak,10
1228,nose,beginning,nose,beginning,2
1229,nose,boss,nose,boss,1
