,meaning1,meaning2,meaning1_clean,meaning2_clean
683,free,free of charge,free,free of charge
684,freedom,territorial entity,freedom,territorial entity
685,fresh,active,fresh,active
686,friend,beloved,friend,beloved
687,friend,musk-deer (Moschus moschiferus),friend,musk deer  
688,friend,tiger,friend,tiger
689,frog,breaststroke,frog,breaststroke
690,frog,lock (n.),frog,lock 
691,frog,toad,frog,toad
692,fruit,child (son or daughter),fruit,child son or daughter
693,fruit,"result, outcome",fruit,result or outcome
694,fruit,testicle,fruit,testicle
695,full,drunk,full,drunk
696,funny,strange,funny,strange
697,furuncul,fig,,fig
698,garbage,large quantity,garbage,large quantity
699,garbage,lumpen,garbage,lumpen
700,garbage,police officer,garbage,police officer
701,garbage,unimportant,garbage,unimportant
702,garden,kindergarten,garden,kindergarten
703,gate,town,gate,town
704,"genuine, true",own (of a relative),genuine or true,own of a relative
705,gilt,lovely,gilt,lovely
706,girl,dragonfly,girl,dragonfly
707,girl,pupil (of an eye),girl,pupil of an eye
708,girl,queen (playing card),girl,queen playing card
709,glass (material),eye,glass material,eye
710,glass (material),mirror,glass material,mirror
711,glass (material),spectacles,glass material,spectacles
712,glutton,wolverine,glutton,wolverine
713,goat,drinking vessel,goat,drinking vessel
714,goat,hare (Lepus),goat,hare 
715,goat,sabrefish,goat,fish
716,god,smallpox,god,smallpox
717,goddess,wife,goddess,wife
718,gold,bear (Ursus),gold,bear 
719,gold,measles,gold,measles
720,goldsmith,dragonfly,goldsmith,dragonfly
721,good,"kind, good-hearted",good,kind or good hearted
722,good,new,good,new
723,good,"sweets, candy",good,sweets or candy
724,good,very,good,very
725,good,ОК,good,ok
726,"grain, seed",freckle,grain or seed,freckle
727,"grain, seed",novice,grain or seed,novice
728,"grain, seed",pip (disease of birds),grain or seed,pip disease of birds
729,"grain, seed","rash, eruption",grain or seed,rash or eruption
730,"grain, seed",sty (on the eye),grain or seed,sty on the eye
731,"grain, seed",testicle,grain or seed,testicle
732,grandchild,wolf,grandchild,wolf
733,grandfather,ancestor,grandfather,ancestor
734,grandfather,dragonfly,grandfather,dragonfly
735,grandfather,father-in-law,grandfather,father in law
736,grandfather,house spirit,grandfather,house spirit
737,grandfather,old man,grandfather,old man
738,grandfather,soldier who is approaching demobilization,grandfather,soldier who is approaching demobilization
739,grandfather,tiger,grandfather,tiger
740,grandfather,woodland spirit,grandfather,woodland spirit
741,grandmother,dragonfly,grandmother,dragonfly
742,grandmother,mandrel (technology),grandmother,mandrel technology
743,grandmother,old woman,grandmother,old woman
744,grandmother,smallpox,grandmother,smallpox
745,grandmother,"witch, sorceress",grandmother,witch or sorceress
746,grandparent,elephant,grandparent,elephant
747,grandparent,tiger,grandparent,tiger
748,granule,small quantity of something,granule,small quantity of something
749,grass,cannabis,grass,cannabis
750,grass,oregano,grass,oregano
751,grass,spring (season),grass,spring season
752,greasy,cream (of milk),greasy,cream of milk
753,greasy,fat (adj.)(of a person),greasy,fat of a person
754,greasy,fertile (soil),greasy,fertile soil
755,greedy,deaf,greedy,deaf
756,greedy,"missing, failing",greedy,missing or failing
757,green,child (son or daughter),green,child son or daughter
758,green,fresh,green,fresh
759,green,inexperienced,green,inexperienced
760,green,plant (biol.),green,plant 
761,green,unripe (fruit),green,unripe fruit
762,green,young,green,young
763,grey,heavy (of weight),gray,heavy of weight
764,"grown-up, adult",boss,grown up or adult,boss
765,guest,disease,guest,disease
766,guest,menstruation,guest,menstruation
767,hair,grass,hair,grass
768,hair,hair (of animals),hair,hair of animals
769,hair,"happiness, luck",hair,happiness or luck
770,hair,head,hair,head
771,hair,respect (n.),hair,respect 
772,hair,"rope, string, cord, lashing",hair,rope or string or cord or lashing
773,hammer,molar (tooth),hammer,molar tooth
774,hand,move (board games),hand,move board games
775,hand/arm,boss,hand or arm,boss
776,hand/arm,branch (of a river),hand or arm,branch of a river
777,hand/arm,finger/toe,hand or arm,finger or toe
778,hand/arm,flank (military),hand or arm,flank military
779,hand/arm,group of men,hand or arm,group of men
780,hand/arm,hand (of a clock),hand or arm,hand of a clock
781,hand/arm,handwriting,hand or arm,handwriting
782,hand/arm,kind (n.),hand or arm,kind 
783,hand/arm,"manner, way",hand or arm,manner or way
784,hand/arm,part,hand or arm,part
785,hand/arm,"power, authority",hand or arm,power or authority
786,hand/arm,ray,hand or arm,ray
787,hand/arm,side (n.),hand or arm,side 
788,hand/arm,"skilful, dexterous",hand or arm,skilful or dexterous
789,hand/arm,strait,hand or arm,strait
790,hand/arm,strength,hand or arm,strength
791,hand/arm,"trunk, proboscis (of elephant)",hand or arm,trunk or proboscis of elephant
792,"handle, gripe",wing,handle or gripe,wing
793,happy,strong,happy,strong
794,"hard, solid",good,hard or solid,good
795,"hard, solid",obstinate,hard or solid,obstinate
796,"hard, solid",persistent,hard or solid,persistent
797,"hard, solid",severe,hard or solid,severe
798,hare (Lepus),gay,hare ,gay
799,hare (Lepus),moon,hare ,moon
800,hare (Lepus),pacemaker (running),hare ,pacemaker running
801,"harm, damage",to deceive,harm or damage,to deceive
802,hawthorn,blackthorn,hawthorn,blackthorn
803,hawthorn,dog-rose,hawthorn,dog rose
804,haymaking (time),Eurasian hoopoe,haymaking time,Eurasian hoopoe
805,he,bear (Ursus),he,bear 
806,head,beginning,head,beginning
807,head,boss,head,boss
808,head,chapter (of a book),head,chapter of a book
809,head,"ear, spike (of a grain plant)",head,ear or spike of a grain plant
810,head,edge,head,edge
811,head,face,head,face
812,head,"heading, title",head,heading or title
813,head,headstream,head,head stream
814,head,kind (n.),head,kind 
815,head,mind (n.),head,mind 
816,head,money,head,money
817,head,nail-head,head,nail head
818,head,nipple (part of the breast),head,nipple part of the breast
819,head,one piece (at counting),head,one piece at counting
820,head,plot of land,head,plot of land
821,head,roof,head,roof
822,head,round object,head,round object
823,head,side (n.),head,side 
824,head,table of contents,head,table of contents
825,head,top,head,top
826,healthy,brave,healthy,brave
827,healthy,competent,healthy,competent
828,healthy,sober,healthy,sober
829,healthy,sun,healthy,sun
830,"heap, pile","many, much",heap or pile,many or much
831,heart,belly,heart,belly
832,heart,brave,heart,brave
833,heart,by heart,heart,by heart
834,heart,clapper of a bell,heart,clapper of a bell
835,heart,essence,heart,essence
836,heart,impudence,heart,impudence
837,heart,inside,heart,inside
838,heart,mind (n.),heart,mind 
839,heart,stone (of a fruit),heart,stone of a fruit
840,"heathen, pagan",buckwheat,heathen or pagan,buckwheat
841,heavy (of weight),bad,heavy of weight,bad
842,heavy (of weight),"bass, low-pitched voice",heavy of weight,bass or low pitched voice
843,heavy (of weight),bothering,heavy of weight,bothering
844,heavy (of weight),difficult,heavy of weight,difficult
845,heavy (of weight),"earnest, serious",heavy of weight,earnest or serious
846,heavy (of weight),important,heavy of weight,important
847,heavy (of weight),insulting,heavy of weight,insulting
848,heavy (of weight),pregnant,heavy of weight,pregnant
849,heavy (of weight),rich,heavy of weight,rich
850,heavy (of weight),slow (adj.),heavy of weight,slow 
851,heavy (of weight),strong,heavy of weight,strong
852,heavy (of weight),"stuffy, close",heavy of weight,stuffy or close
853,heavy (of weight),stupid,heavy of weight,stupid
854,heavy (of weight),very,heavy of weight,very
855,hedgehog (Еrinaceus),chestnut,hedgehog ,chestnut
856,hedgehog (Еrinaceus),rat,hedgehog ,rat
857,heel (of a foot),behind,heel of a foot,behind
858,heel (of a foot),edge,heel of a foot,edge
859,heel (of a foot),end,heel of a foot,end
860,heel (of a foot),"footprint, track",heel of a foot,footprint or track
861,heel (of a foot),heel (of a shoe),heel of a foot,heel of a shoe
862,heel (of a foot),hoof,heel of a foot,hoof
863,height (of a person),age,height of a person,age
864,hell,experience of great suffering,hell,experience of great suffering
865,hell,glutton,hell,glutton
866,hen,vagina,hen,vagina
867,hen,whore,hen,whore
868,hermit,Boletus edulis,hermit,penny bun fungus
869,herring,police officer,herring,police officer
870,high (location),high-pitched,high location,high pitched
871,high (location),of high rank,high location,of high rank
872,high (location),proud,high location,proud
873,"high (size), tall",expensive,high size or tall,expensive
874,"high (size), tall",loud,high size or tall,loud
875,hill,tomb,hill,tomb
876,hoar-frost,grey hair,hoar frost,gray hair
877,honey,sweet (taste),honey,sweet taste
878,hoof,foot/leg,hoof,foot or leg
879,hoof,hearts (in cards),hoof,hearts in cards
880,horn,branch (of a river),horn,branch of a river
881,horn,cape,horn,cape
882,horn,flank (military),horn,flank military
883,horn,peak of mountain,horn,peak of mountain
884,horn,ravine,horn,ravine
885,horn,spout of vessel,horn,spout of vessel
886,horn,swelling (on skin),horn,swelling on skin
887,horned,deer,horned,deer
888,horse (Equus caballus),big,horse  ,big
889,horse (Equus caballus),dragonfly,horse  ,dragonfly
890,horse (Equus caballus),flatbread,horse  ,flatbread
891,horse (Equus caballus),knight (chess),horse  ,knight chess
892,horse (Equus caballus),wave,horse  ,wave
893,"horseman, rider",knight (chess),horseman or rider,knight chess
894,"horseman, rider","noble rank, title",horseman or rider,noble rank or title
895,hot,active,hot,active
896,hot,angry,hot,angry
897,hot,difficult,hot,difficult
898,hot,fever,hot,fever
899,hot,fresh,hot,fresh
900,hot,"friendly, amicable",hot,friendly or amicable
901,hot,hoarse,hot,hoarse
902,hot,passionate,hot,passionate
903,hot,recent,hot,recent
904,hot,spicy,hot,spicy
905,hot,to succeed,hot,to succeed
906,hour,"watch, clock",hour,watch or clock
907,house,coffin,house,coffin
908,house,family,house,family
909,house,husband,house,husband
910,house,inheritance,house,inheritance
911,house,motherland,house,motherland
912,house,native land,house,native land
913,house,tomb,house,tomb
914,house,verse,house,verse
915,house,wife,house,wife
916,hump (of a person or camel),peak of mountain,hump of a person or camel,peak of mountain
917,humpbacked,"mosquito, gnat",humpbacked,mosquito or gnat
918,hungry,greedy,hungry,greedy
919,hunter,bishop (chess),hunter,bishop chess
920,hunter,wolf,hunter,wolf
921,hyena,glutton,hyena,glutton
922,ice,glass (material),ice,glass material
923,"idler, loafer",sloth (South American mammal),idler or loafer,sloth south American mammal
924,"idler, loafer",track idler wheel,idler or loafer,track idler wheel
925,"ill, sick, not well",moon,ill or sick or not well,moon
926,"ill, sick, not well",wrong,ill or sick or not well,wrong
927,immature fish,inexperienced,immature fish,inexperienced
928,incomplete,insane,incomplete,insane
929,inflated,"false, wrong",inflated,false or wrong
930,inflated,proud,inflated,proud
931,innocent,child (son or daughter),innocent,child son or daughter
932,insane,to be keen of,insane,to be keen of
933,insect,wolf,insect,wolf
934,"instrument, tool",weapon,instrument or tool,weapon
935,intact,normal,intact,normal
936,intact,pure,intact,pure
937,iron,anchor,iron,anchor
938,iron,black,iron,black
939,iron,"firm, solid",iron,firm or solid
940,iron,iron (for pressing clothes),iron,iron for pressing clothes
941,iron,scissors,iron,scissors
942,iron,sword,iron,sword
943,iron,"trap, snare (n.)",iron,trap or snare 
944,iron,weapon,iron,weapon
945,jaw,blade,jaw,blade
946,jaw,sleigh,jaw,sleigh
947,jay,siberian jay,jay,siberian jay
948,jerboa,weak,jerboa,weak
949,jester,bishop (chess),jester,bishop chess
950,"jewel, precious stone",eye,jewel or precious stone,eye
951,"jewelry, precious thing",penis,jewelry or precious thing,penis
952,"jewelry, precious thing",talent,jewelry or precious thing,talent
953,"joint, articulation",generation,joint or articulation,generation
954,"joint, articulation",node (part of a plant stem),joint or articulation,node part of a plant stem
955,"joint, articulation",tribe,joint or articulation,tribe
956,jumper,knight (chess),jumper,knight chess
957,juniper,wild rosemary,juniper,wild rosemary
958,key (of a door),clavicle,key of a door,clavicle
959,key (of a door),keystone,key of a door,keystone
960,key (of a door),"tap, faucet",key of a door,tap or faucet
961,kilogram,100 units of currency,kilogram,one hundred units of currency
962,kite,kite (lightweight toy),kite,kite lightweight toy
963,kite (lightweight toy),flying fish,kite lightweight toy,flying fish
964,knee,genitalia,knee,genitalia
965,knee,strong,knee,strong
966,knot,contract,knot,contract
967,ladle,"shoulder-blade, scapula",ladle,shoulder blade or scapula
968,ladybird,"firebug, Pyrrhocoris apterus",ladybird,firebug or  
969,lame person,drunk,lame person,drunk
970,land (vs. sea),bottom,land ,bottom
971,land (vs. sea),floor (vs. ceiling),land ,floor 
972,lap,"protection, patronage",lap,protection or patronage
973,lap,vagina,lap,vagina
974,lap (of clothes),mountain slope,lap of clothes,mountain slope
975,last,next,last,next
976,"lavish, generous",fertile (soil),lavish or generous,fertile soil
977,"lavish, generous",influential person,lavish or generous,influential person
978,"lead, plumbum",pencil,lead or ,pencil
979,leaf,blade,leaf,blade
980,leaf,crucian,leaf,crucian
981,leaf,"leaf (of door, window)",leaf,leaf of door or window
982,leaf,letter (text),leaf,letter text
983,leaf,money,leaf,money
984,leaf,oar,leaf,oar
985,leaf,sheet of paper,leaf,sheet of paper
986,leaf,spades (in cards),leaf,spades in cards
987,lean,fatless,lean,fatless
988,leech,creditor,leech,creditor
989,leech,extortioner,leech,extortion doer
990,left,bad,left,bad
991,left,bad luck,left,bad luck
992,left,impolite,left,impolite
993,left,left (political),left,left political
994,left,west,left,west
995,left,wrong,left,wrong
996,length,longitude,length,longitude
997,lenten (fare),fatless,lenten fare,fatless
998,lentil,lens,lentil,lens
999,letter (character),reverse side of a coin,letter character,reverse side of a coin
1000,letter (text),signature,letter text,signature
1001,life,death,life,death
1002,lifting machine,"tap, faucet",lifting machine,tap or faucet
1003,light (n.),electricity,light ,electricity
1004,light (n.),world,light ,world
1005,light (of colour),clever,light of color,clever
1006,light (of colour),comprehensible,light of color,comprehensible
1007,light (of colour),glad,light of color,glad
1008,light (of colour),high-pitched,light of color,high pitched
1009,light (of colour),honest,light of color,honest
1010,light (of colour),sober,light of color,sober
1011,light (of weight),cheap,light of weight,cheap
1012,light (of weight),frivolous,light of weight,frivolous
1013,light (of weight),not strong (of liquid or smell),light of weight,not strong of liquid or smell
1014,light (of weight),simple,light of weight,simple
1015,light (of weight),unimportant,light of weight,unimportant
1016,lightning,electricity,lightning,electricity
1017,line,"footprint, track",line,footprint or track
1018,line,trait,line,trait
1019,lineage,offspring,lineage,offspring
1020,lion (Panthera leo),brave person,lion panther leo,brave person
1021,lion (Panthera leo),monarch,lion panther leo,monarch
1022,lip,beak,lip,beak
1023,lip,edge,lip,edge
1024,lip,word,lip,word
1025,liquid (adj.),high-pitched,liquid ,high pitched
1026,liquid (adj.),sparse,liquid ,sparse
1027,liquid (adj.),weak,liquid ,weak
1028,literally,figuratively,literally,figuratively
1029,little finger,branch (of a river),little finger,branch of a river
1030,"little, small",aunt (mother's sister),little or small,aunt mother's sister
1031,"little, small","detailed, thorough",little or small,detailed or thorough
1032,"little, small",little finger,little or small,little finger
1033,"little, small",low (social),little or small,low social
1034,"little, small",stupid,little or small,stupid
1035,"little, small",younger,little or small,younger
1036,lock (n.),keystone,lock ,keystone
1037,locked,strong (of liquid or smell),locked,strong of liquid or smell
1038,long (size),far away,long size,far away
1039,long (size),"high (size), tall",long size,high size or tall
1040,long (size),woodland spirit,long size,woodland spirit
1041,long-armed,thief,long armed,thief
1042,look (n.),"instant, moment",look ,instant or moment
1043,lord,god,lord,god
1044,lord,"you (pronoun 2 sg., polite)",lord,you pronoun 2  or polite
1045,lost,dead (adj.),lost,dead 
1046,lotus,beautiful,lotus,beautiful
1047,lotus,beloved,lotus,beloved
1048,lotus,shower head,lotus,shower head
1049,loud,severe (about pain),loud,severe about pain
1050,low (location),bad,low location,bad
1051,low (location),bad (ethically),low location,bad ethically
1052,low (location),"bass, low-pitched voice",low location,bass or low pitched voice
1053,low (location),deep,low location,deep
1054,low (location),embroidery on the hem,low location,embroidery on the hem
1055,low (location),low (social),low location,low social
1056,low (location),meek,low location,meek
1057,low (location),of low rank,low location,of low rank
1058,low (location),old (vs. new),low location,old 
1059,low (location),weak,low location,weak
1060,low (size),quiet (vs. loud),low size,quiet 
1061,low (social),bad (ethically),low social,bad ethically
1062,lower part,south,lower part,south
1063,lower part,west,lower part,west
1064,lower reach (of river),North,lower reach of river,North
1065,lung,sponge,lung,sponge
1066,magpie (Pica pica),"happiness, luck",magpie Pica Pica,happiness or luck
1067,magpie (Pica pica),talkative person,magpie Pica Pica,talkative person
1068,maize,cone (fruit),maize,cone fruit
1069,male (animal),door bolt,male animal,door bolt
1070,man,courage,man,courage
1071,man,husband,man,husband
1072,man,main,man,main
1073,mane,"mountain ridge, edge",mane,mountain ridge or edge
1074,mango,syphilis,mango,syphilis
1075,"mangy, scabby",bad,mangy or scabby,bad
1076,"manufacturer, producer","commodity, goods",manufacturer or producer,commodity or goods
1077,"many, much",very,many or much,very
1078,market,Sunday,market,Sunday
1079,market,noise,market,noise
1080,marrow,core (of plant),marrow,core of plant
1081,marten,money,marten,money
1082,mask,larva,mask,larva
1083,mat,whore,mat,whore
1084,meat,fruit pulp,meat,fruit pulp
1085,meat,kinship,meat,kinship
1086,"melody, tune",behaviour,melody or tune,behavior
1087,mental hospital,"disorder, mess",mental hospital,disorder or mess
1088,messenger,angel,messenger,angel
1089,metal,gold,metal,gold
1090,metal,money,metal,money
1091,metal spike,pike (fish),metal spike,pike fish
1092,middle,Wednesday,middle,Wednesday
1093,middle,boundary (of land plots),middle,boundary of land plots
1094,middle,middle finger,middle,middle finger
1095,middle,to act as intermediary,middle,to act as intermediary
1096,milk,"milk-tooth, deciduous tooth",milk,milk tooth or deciduous tooth
1097,milk,milt (of fish),milk,milt of fish
1098,milk,"resin; pitch, tar",milk,resin; pitch or tar
1099,milk,sap (of a plant),milk,sap of a plant
1100,mill (n.),molar (tooth),mill ,molar tooth
1101,mind (n.),joke,mind ,joke
1102,mind (n.),memory,mind ,memory
1103,mine (underground tunnel),mine (explosive device),mine underground tunnel,mine explosive device
1104,miracle,mirror,miracle,mirror
1105,mirror,mirror (website),mirror,mirror website
1106,mirror,spectacles,mirror,spectacles
1107,misfortune,wolf,misfortune,wolf
1108,"missing, failing",stupid,missing or failing,stupid
1109,"mist, fog",cataract (of the eye),mist or fog,cataract of the eye
1110,mistress of a house,"mistress, paramour",mistress of a house,mistress or paramour
1111,mistress of a house,wife,mistress of a house,wife
1112,moisture,"profit, gain (n.)",moisture,profit or gain 
1113,monarch,bride,monarch,bride
1114,monarch,goldcrest,monarch,small bird
1115,monarch,king (a playing card),monarch,king a playing card
1116,monarch,mesentery,monarch,mesentery
1117,monarch,queen (bee),monarch,queen bee
1118,monk,donut,monk,donut
1119,monk,macereed (Typha),monk,mace reed cattail
1120,monkey,"ugly, unpleasant",monkey,ugly or unpleasant
1121,monster (abnormal creature),cruel,monster abnormal creature,cruel
1122,moon,Monday,moon,Monday
1123,moon,calendar,moon,calendar
1124,moon,date,moon,date
1125,moon,horseshoe,moon,horseshoe
1126,moon,menstruation,moon,menstruation
1127,moon,month,moon,month
1128,moon,silver,moon,silver
1129,moon,sunflower,moon,sunflower
1130,moon,time,moon,time
1131,moon,white,moon,white
1132,morning,day,morning,day
1133,morning,east,morning,east
1134,morning,spring (season),morning,spring season
1135,mortal,person,mortal,person
1136,"mosquito, gnat",ant,mosquito or gnat,ant
1137,mother,daughter,mother,daughter
1138,mother,goddess,mother,goddess
1139,mother,main,mother,main
1140,mother,old woman,mother,old woman
1141,mother,original,mother,original
1142,mother,queen (bee),mother,queen bee
1143,mother,sister,mother,sister
1144,mother,smallpox,mother,smallpox
1145,mother,wet-nurse,mother,wet nurse
1146,mother,widow,mother,widow
1147,mountain,cloud,mountain,cloud
1148,mountain,forest,mountain,forest
1149,mountain,monastery,mountain,monastery
1150,mouse,birthmark,mouse,birthmark
1151,mouse,child (son or daughter),mouse,child son or daughter
1152,mouse,computer mouse,mouse,computer mouse
1153,mouse,muscle,mouse,muscle
1154,moustache,barbel,mustache,barbel
1155,moustache,tendril (of plant),mustache,tendril of plant
1156,mouth,beak,mouth,beak
1157,mouth,blade,mouth,blade
1158,mouth,completion,mouth,completion
1159,mouth,edge,mouth,edge
1160,mouth,face,mouth,face
1161,mouth,fast (n.),mouth,fast 
1162,mouth,"herald, messenger",mouth,herald or messenger
1163,mouth,impudence,mouth,impudence
1164,mouth,mouth (of a river),mouth,mouth of a river
1165,mouth,"opening, hole",mouth,opening or hole
1166,mouth,ravine,mouth,ravine
1167,mouth,speech,mouth,speech
1168,mouth,vacancy,mouth,vacancy
1169,mud,faeces,mud,faeces
1170,mud,penis,mud,penis
1171,mud,sweat,mud,sweat
1172,"muddy, turbid (of water) (?)",to fornicate,muddy or turbid of water ,to fornicate
1173,"muddy, turbid (of water) (?)","to worry, be agitated",muddy or turbid of water ,to worry or be agitated
1174,mule,sterile,mule,sterile
1175,muscle,strength,muscle,strength
1176,mushroom,Boletus edulis,mushroom,penny bun fungus
1177,mute,stupid,mute,stupid
1178,mute,talkative person,mute,talkative person
1179,muzzle,face,muzzle,face
1180,muzzle,mouth (of a river),muzzle,mouth of a river
1181,nail (body part),finger/toe,nail body part,finger or toe
1182,nail (body part),nail (metal spike),nail body part,nail metal spike
1183,nail (metal spike),"screw, screw-bolt",nail metal spike,screw or screw bolt
1184,"naked, bare",bald,naked or bare,bald
1185,"naked, bare",bareback,naked or bare,bareback
1186,"naked, bare","deprived of, lacking",naked or bare,deprived of or lacking
1187,"naked, bare",insolent,naked or bare,insolent
1188,"naked, bare","only, just",naked or bare,only or just
1189,"naked, bare",poor,naked or bare,poor
1190,"naked, bare",raw,naked or bare,raw
1191,name,kind (n.),name,kind 
1192,name,reputation,name,reputation
1193,nameless,ring finger,nameless,ring finger
1194,"narrow, close",greedy,narrow or close,greedy
1195,navel,belly,navel,belly
1196,navel,bottom,navel,bottom
1197,navel,centre,navel,center
1198,navel,keystone,navel,keystone
1199,navel,lower part,navel,lower part
1200,navel,pole (geographical),navel,pole geographical
1201,navel,stone (of a fruit),navel,stone of a fruit
1202,navel,whirlpool,navel,whirlpool
1203,navy,dark blue,navy,dark blue
1204,near,cheap,near,cheap
1205,near,close (of relations),near,close of relations
1206,near,stupid,near,stupid
1207,necessary,suitable,necessary,suitable
1208,neck,crossroads,neck,crossroads
1209,neck,isthmus,neck,isthmus
1210,neck,mountain pass,neck,mountain pass
1211,neck,"mountain ridge, edge",neck,mountain ridge or edge
1212,neck,neck (of bottle etc.),neck,neck of bottle 
1213,needle,shuttle (weaving instrument),needle,shuttle weaving instrument
1214,neighbour,fever,neighbor,fever
1215,nest (n.),bed,nest ,bed
1216,nettle (Urtica),"medusa, jellyfish",nettle ,medusa or jellyfish
1217,new,strange,new,strange
1218,next,second (num.),next,second 
1219,night,24 hours,night,twenty four hours
1220,night-blindness,common buttercup (Ranunculus acris),night blindness,common buttercup Ranunculus 
1221,night-blindness,scarlet pimpernel (Anagallis arvensis),night blindness,scarlet pimpernel  
1222,"nimble, deft, quick",comfortable,nimble or deft or quick,comfortable
1223,noble,bear (Ursus),noble,bear 
1224,noble,free,noble,free
1225,noon,south,noon,south
1226,nose,angry,nose,angry
1227,nose,beak,nose,beak
1228,nose,beginning,nose,beginning
1229,nose,boss,nose,boss
1230,nose,cape,nose,cape
1231,nose,corner,nose,corner
1232,nose,end,nose,end
1233,nose,front part,nose,front part
1234,nose,informer,nose,informer
1235,nose,muzzle,nose,muzzle
1236,nose,nostril,nose,nostril
1237,nose,penis,nose,penis
1238,nose,sense of smell,nose,sense of smell
1239,nose,sharp point,nose,sharp point
1240,nose,snot,nose,snot
1241,now,recently,now,recently
1242,now,soon,now,soon
1243,number,date,number,date
1244,"nut, hazel",potato,nut or hazel,potato
1245,"nut, hazel",testicle,nut or hazel,testicle
1246,oar,to row (with oars),oar,to row with oars
1247,ocean,foreign,ocean,foreign
1248,official (n.),dragonfly,official ,dragonfly
1249,oil (food),"petroleum, oil",oil food,petroleum or oil
1250,old man,husband,old man,husband
1251,old man,king (a playing card),old man,king a playing card
1252,old man/grandfather,bear (Ursus),old man or grandfather,bear 
1253,old woman,wife,old woman,wife
1254,omen,monster (abnormal creature),omen,monster abnormal creature
1255,one (unit),ace (playing card),one unit,ace playing card
1256,one (unit),"only, just",one unit,only or just
1257,onion,potato,onion,potato
1258,"only, just","but, however",only or just,but or however
1259,open (adj.),frank,open ,frank
1260,open (adj.),light (of colour),open ,light of color
1261,"opening, hole",defect,opening or hole,defect
1262,"opening, hole",genitalia,opening or hole,genitalia
1263,opposite,"false, wrong",opposite,false or wrong
1264,organ (anatomy),"agency, authority",organ anatomy,agency or authority
1265,orphan,farm laborer,orphan,farm laborer
1266,orphan,unique,orphan,unique
1267,other,friend,other,friend
1268,other,hostile,other,hostile
1269,other,left,other,left
1270,overcoat,fool,overcoat,fool
1271,owl,police officer,owl,police officer
1272,owner,husband,owner,husband
1273,owner,spirit,owner,spirit
1274,owner,tiger,owner,tiger
1275,owner,wife,owner,wife
1276,owner,woodland spirit,owner,woodland spirit
1277,"owre, buffalo (Bubalus bubalis)",old man, buffalo  ,old man
1278,pain,disease,pain,disease
1279,pain,very,pain,very
1280,"paint, dye (n.)",colour,paint or dye ,color
1281,palace,transport station,palace,transport station
1282,palm (body part),destiny,palm body part,destiny
1283,palm (body part),palm (tree),palm body part,palm tree
1284,palm (body part),threshing floor,palm body part,threshing floor
1285,paper,book (n.),paper,book 
1286,paper,document (n.),paper,document 
1287,paper,playing cards,paper,playing cards
1288,part,beloved,part,beloved
1289,part,body part,part,body part
1290,part,byte,part,byte
1291,part,destiny,part,destiny
1292,part,relative (n.),part,relative 
1293,participant in the ritual wedding procession,young man,participant in the ritual wedding procession,young man
1294,pass (document allowing admission),letter (text),pass document allowing admission,letter text
1295,pawn (in chess),"puppet, lay figure",pawn in chess,puppet or lay figure
1296,pea,hail,pea,hail
1297,pear,electric lamp,pear,electric lamp
1298,pear,fool,pear,fool
1299,pear,potato,pear,potato
1300,"pellicle, membrane",cataract (of the eye),pellicle or membrane,cataract of the eye
1301,"pellicle, membrane",cloud,pellicle or membrane,cloud
1302,"pellicle, membrane","film, movie",pellicle or membrane,film or movie
1303,pericarp of a lotus,middle finger,pericarp of a lotus,middle finger
1304,period of time,age,period of time,age
1305,period of time,destiny,period of time,destiny
1306,person,husband,person,husband
1307,person,person (grammar),person,person grammar
1308,person,servant,person,servant
1309,person of small stature,Japanese,person of small stature,Japanese
1310,phosphorus,match (for fire),phosphorus,match for fire
1311,pig (Sus scrofa),animal,pig Sus ,animal
1312,pig (Sus scrofa),bad person,pig Sus ,bad person
1313,pig (Sus scrofa),barbel,pig Sus ,barbel
1314,pig (Sus scrofa),glutton,pig Sus ,glutton
1315,pig (Sus scrofa),haystack,pig Sus ,haystack
1316,pig (Sus scrofa),police officer,pig Sus ,police officer
1317,pig (Sus scrofa),slattern,pig Sus ,slattern
1318,pigeon (Columba),maize,pigeon ,maize
1319,pigeon (Columba),moth,pigeon ,moth
1320,pillow,birch bolete (Leccinum scabrum),pillow,birch bolete  
1321,pilot sucker,creditor,pilot sucker,creditor
1322,pimple,nipple (part of the breast),pimple,nipple part of the breast
1323,pink,good,pink,good
1324,pink,happy,pink,happy
1325,pit,prison,pit,prison
1326,pit,tomb,pit,tomb
1327,plant (biol.),(gun)powder,plant ,gunpowder
1328,plant (biol.),"drug, medicine",plant ,drug or medicine
1329,"plough, ard",unit of area,plow or ard,unit of area
1330,plum,tonsil,plum,tonsil
1331,poetry,"false, wrong",poetry,false or wrong
1332,poison,anger,poison,anger
1333,poisonous,magic,poisonous,magic
1334,poisonous,sarcastic,poisonous,sarcastic
1335,pole (long stick),boss,pole long stick,boss
1336,pole (long stick),tall person,pole long stick,tall person
1337,police officer,jack (playing card),police officer,jack playing card
1338,poor,"rude, impolite",poor,rude or impolite
1339,poor,unhappy,poor,unhappy
1340,pope,ruff (fish),pope,ruff fish
1341,poplar (Populus alba),abies (Abies),poplar Populus alba,fir fir
1342,potato,testicle,potato,testicle
1343,"power, authority","country, land",power or authority,country or land
1344,powerless,furious,powerless,furious
1345,"precipice, abyss",hell,precipice or abyss,hell
1346,predator,wolf,predator,wolf
